from,to,Δs²,relation,cost
ev_2,ev_88,-7394.223928952207,timelike-irreversible,85.98967338554209
ev_2,ev_89,-7567.33501244661,timelike-irreversible,86.99043057972877
ev_2,ev_90,-7742.445041867913,timelike-irreversible,87.99116456706271
ev_2,ev_91,-7919.55367102285,timelike-irreversible,88.99187418535948
ev_2,ev_92,-8098.66055812391,timelike-irreversible,89.99255834858741
ev_2,ev_93,-8279.76536686473,timelike-irreversible,90.99321604858645
ev_2,ev_94,-8462.867767478236,timelike-irreversible,91.99384635658102
ev_2,ev_95,-8647.96743777421,timelike-irreversible,92.99444842448506
ev_2,ev_96,-8835.06406415303,timelike-irreversible,93.99502148599696
ev_2,ev_97,-9024.15734259236,timelike-irreversible,94.99556485748353
ev_2,ev_98,-9215.246979603717,timelike-irreversible,95.99607793865184
ev_2,ev_99,-9408.332693155904,timelike-irreversible,96.99656021300912
ev_2,ev_100,-9603.414213562372,timelike-irreversible,97.99701124811088
ev_2,ev_101,-9800.491284329766,timelike-irreversible,98.99743069559818
ev_2,ev_102,-9999.563662964936,timelike-irreversible,99.99781829102541
ev_2,ev_103,-10200.631121737919,timelike-irreversible,100.99817385348074
ev_2,ev_104,-10403.693448398457,timelike-irreversible,101.99849728500149
ev_2,ev_105,-10608.750446843818,timelike-irreversible,102.99878856978765
ev_2,ev_106,-10815.801937735805,timelike-irreversible,103.99904777321667
ev_2,ev_107,-11024.847759065024,timelike-irreversible,104.99927504066409
ev_2,ev_108,-11235.887766660617,timelike-irreversible,105.99947059613372
ev_2,ev_109,-11448.92183464389,timelike-irreversible,106.99963474070316
ev_2,ev_110,-11663.949855824363,timelike-irreversible,107.99976785078921
ev_2,ev_111,-11880.971742037036,timelike-irreversible,108.9998703762396
ev_3,ev_4,-0.9968536300356331,timelike-irreversible,0.9984255756117394
ev_3,ev_5,-3.9874244197864854,timelike-irreversible,1.9968536300356332
ev_3,ev_6,-8.971742037036472,timelike-irreversible,2.995286636874086
ev_3,ev_7,-15.949855824363647,timelike-irreversible,3.993727059322363
ev_3,ev_8,-24.9218346438902,timelike-irreversible,4.992177344995889
ev_3,ev_9,-35.887766660616734,timelike-irreversible,5.9906399207945
ev_3,ev_10,-48.84775906502257,timelike-irreversible,6.989117187815824
ev_3,ev_11,-63.80193773580484,timelike-irreversible,7.9876115163298245
ev_3,ev_12,-80.7504468438175,timelike-irreversible,8.986125240826409
ev_3,ev_13,-99.69344839845657,timelike-irreversible,9.984660655147804
ev_3,ev_14,-120.63112173791852,timelike-irreversible,10.98322000771716
ev_3,ev_15,-143.56366296493607,timelike-irreversible,11.98180549687467
ev_3,ev_16,-168.49128432976633,timelike-irreversible,12.98041926633213
ev_3,ev_17,-195.41421356237308,timelike-irreversible,13.979063400756614
ev_3,ev_18,-224.332693155904,timelike-irreversible,14.97773992149363
ev_3,ev_19,-255.24697960371748,timelike-irreversible,15.97645078243968
ev_3,ev_20,-288.1573425923596,timelike-irreversible,16.97519786607389
ev_3,ev_21,-323.0640641530307,timelike-irreversible,17.973982979657865
ev_3,ev_22,-359.96743777421045,timelike-irreversible,18.97280785161254
ev_3,ev_23,-398.8677674782351,timelike-irreversible,19.971674128080377
ev_3,ev_24,-439.7653668647302,timelike-irreversible,20.970583369680735
ev_3,ev_25,-482.6605581239103,timelike-irreversible,21.969537048465774
ev_3,ev_26,-527.5536710228497,timelike-irreversible,22.968536545083793
ev_3,ev_27,-574.4450418679126,timelike-irreversible,23.967583146156237
ev_3,ev_28,-623.3350124466094,timelike-irreversible,24.96667804187432
ev_3,ev_29,-674.2239289522066,timelike-irreversible,25.965822323820337
ev_3,ev_30,-727.1121408944744,timelike-irreversible,26.96501698301847
ev_3,ev_31,-782.0,timelike-irreversible,27.964262908219126
ev_3,ev_32,-838.8878591055255,timelike-irreversible,28.963560884420367
ev_3,ev_33,-897.7760710477934,timelike-irreversible,29.962911591629297
ev_3,ev_34,-958.6649875533906,timelike-irreversible,30.962315603865783
ev_3,ev_35,-1021.5549581320874,timelike-irreversible,31.961773388410215
ev_3,ev_36,-1086.4463289771504,timelike-irreversible,32.96128530529643
ev_3,ev_37,-1153.3394418760897,timelike-irreversible,33.96085160705028
ev_3,ev_38,-1222.2346331352699,timelike-irreversible,34.96047243867379
ev_3,ev_39,-1293.1322325217648,timelike-irreversible,35.960147837874146
ev_3,ev_40,-1366.0325622257894,timelike-irreversible,36.95987773553627
ev_3,ev_41,-1440.9359358469692,timelike-irreversible,37.95966195643698
ev_3,ev_42,-1517.8426574076404,timelike-irreversible,38.959500220198414
ev_3,ev_43,-1596.7530203962824,timelike-irreversible,39.95939214247737
ev_3,ev_44,-1677.667306844096,timelike-irreversible,40.95933723638721
ev_3,ev_45,-1760.585786437627,timelike-irreversible,41.95933491414785
ev_3,ev_46,-1845.5087156702339,timelike-irreversible,42.959384488959266
ev_3,ev_47,-1932.4363370350638,timelike-irreversible,43.95948517709305
ev_3,ev_48,-2021.3688782620816,timelike-irreversible,44.95963610019638
ev_3,ev_49,-2112.3065516015436,timelike-irreversible,45.95983628780181
ev_3,ev_50,-2205.2495531561826,timelike-irreversible,46.96008468003633
ev_3,ev_51,-2300.198062264195,timelike-irreversible,47.96038013052227
ev_3,ev_52,-2397.1522409349773,timelike-irreversible,48.96072140946227
ev_3,ev_53,-2496.1122333393832,timelike-irreversible,49.96110720690028
ev_3,ev_54,-2597.07816535611,timelike-irreversible,50.96153613614988
ev_3,ev_55,-2700.0501441756364,timelike-irreversible,51.962006737381074
ev_3,ev_56,-2805.0282579629634,timelike-irreversible,52.96251748135622
ev_3,ev_57,-2912.0125755802137,timelike-irreversible,53.963066773305364
ev_3,ev_58,-3021.0031463699643,timelike-irreversible,54.96365295693113
ev_3,ev_59,-3132.0,timelike-irreversible,55.96427431853289
ev_3,ev_60,-3245.0031463699643,timelike-irreversible,56.964929091239675
ev_3,ev_61,-3360.0125755802133,timelike-irreversible,57.96561545934118
ev_3,ev_62,-3477.028257962964,timelike-irreversible,58.96633156270588
ev_3,ev_63,-3596.0501441756364,timelike-irreversible,59.96707550127517
ev_3,ev_64,-3717.07816535611,timelike-irreversible,60.96784533962234
ev_3,ev_65,-3840.1122333393832,timelike-irreversible,61.968639111565
ev_3,ev_66,-3965.1522409349773,timelike-irreversible,62.96945482481945
ev_3,ev_67,-4092.1980622641954,timelike-irreversible,63.97029046568567
ev_3,ev_68,-4221.249553156183,timelike-irreversible,64.97114400375125
ev_3,ev_69,-4352.306551601543,timelike-irreversible,65.97201339660283
ev_3,ev_70,-4485.368878262081,timelike-irreversible,66.97289659453354
ev_3,ev_71,-4620.436337035064,timelike-irreversible,67.97379154523502
ev_3,ev_72,-4757.508715670234,timelike-irreversible,68.97469619846277
ev_3,ev_73,-4896.585786437627,timelike-irreversible,69.97560851066339
ev_3,ev_74,-5037.667306844096,timelike-irreversible,70.97652644955299
ev_3,ev_75,-5180.753020396282,timelike-irreversible,71.97744799863554
ev_3,ev_76,-5325.84265740764,timelike-irreversible,72.97837116165063
ev_3,ev_77,-5472.935935846969,timelike-irreversible,73.9792939669403
ev_3,ev_78,-5622.03256222579,timelike-irreversible,74.98021447172441
ev_3,ev_79,-5773.132232521764,timelike-irreversible,75.98113076627489
ev_3,ev_80,-5926.23463313527,timelike-irreversible,76.98204097797921
